step	global-lle	local-lle	lle-ratio
0	+3.1048732285169587e+00	+3.1048732285169587e+00	+0.0000000000000000e+00
0	-4.9704130632389720e-01	-4.9704130632389720e-01	+0.0000000000000000e+00
0	-1.1601351279455798e+00	-1.1601351279455798e+00	+0.0000000000000000e+00
2	-4.4736303259621817e+00	-3.9886368313619021e+00	+9.6998698920055926e-01
0	+1.8282155728347180e+00	+1.8282155728347180e+00	+0.0000000000000000e+00
0	+3.0952602425549109e+00	+3.0952602425549109e+00	+0.0000000000000000e+00
0	+3.0709899586377718e+00	+3.0709899586377718e+00	+0.0000000000000000e+00
0	-5.0689060029101238e+00	-5.0689060029101238e+00	+0.0000000000000000e+00
0	+6.1878850796288232e-01	+6.1878850796288232e-01	+0.0000000000000000e+00
0	+3.0697272982918866e+00	+3.0697272982918866e+00	+0.0000000000000000e+00
0	+8.4827123227984025e-01	+8.4827123227984025e-01	+0.0000000000000000e+00
0	-6.5382844385272261e+00	-6.5382844385272261e+00	+0.0000000000000000e+00
1	+2.1152571192861949e+00	+2.2600029532575365e+00	+2.8949166794268333e-01
0	+3.3096729218449878e+00	+3.3096729218449878e+00	+0.0000000000000000e+00
0	+2.5407010660746439e+00	+2.5407010660746439e+00	+0.0000000000000000e+00
2	+8.9061083921283313e-02	+1.4912773893299698e+00	+2.8044326108173729e+00
0	-2.7937345956412152e-01	-2.7937345956412152e-01	+0.0000000000000000e+00
0	-2.3024192295946655e-01	-2.3024192295946655e-01	+0.0000000000000000e+00
0	+3.0638995598837098e+00	+3.0638995598837098e+00	+0.0000000000000000e+00
0	-4.0673740500450908e+00	-4.0673740500450908e+00	+0.0000000000000000e+00
0	+1.8821148667620782e+00	+1.8821148667620782e+00	+0.0000000000000000e+00
1	+1.4201972892444648e+00	+1.5076233579398441e+00	+1.7485213739075878e-01
0	-1.3741032709955707e+00	-1.3741032709955707e+00	+0.0000000000000000e+00
0	+1.6163621783969084e+00	+1.6163621783969084e+00	+0.0000000000000000e+00
2	-5.5018681407553149e-01	+1.8954223278568572e-01	+1.4794580937224344e+00
0	-4.0172986972628788e-01	-4.0172986972628788e-01	+0.0000000000000000e+00
1	-7.4489228996804435e-01	-4.1986985088307760e-01	+6.5004487816993350e-01
2	-1.4464403528718250e+00	+2.8620307378834520e-01	+3.4652868533203405e+00
0	+3.2656329085155953e+00	+3.2656329085155953e+00	+0.0000000000000000e+00
0	+2.1485720318392598e+00	+2.1485720318392598e+00	+0.0000000000000000e+00
0	+2.0095429007507812e+00	+2.0095429007507812e+00	+0.0000000000000000e+00
0	+3.3971068029373699e+00	+3.3971068029373699e+00	+0.0000000000000000e+00
0	+1.0522705431457196e+00	+1.0522705431457196e+00	+0.0000000000000000e+00
4	-1.4074586508058795e+00	+1.2170061106822816e+00	+5.2489295229763222e+00
0	+3.4828731835181070e+00	+3.4828731835181070e+00	+0.0000000000000000e+00
0	+9.5066101453193363e-01	+9.5066101453193363e-01	+0.0000000000000000e+00
0	+2.7487959257448145e+00	+2.7487959257448145e+00	+0.0000000000000000e+00
0	+1.6167257732241946e+00	+1.6167257732241946e+00	+0.0000000000000000e+00
0	+1.8391506666980817e+00	+1.8391506666980817e+00	+0.0000000000000000e+00
0	+3.4233468287560216e+00	+3.4233468287560216e+00	+0.0000000000000000e+00
0	+1.9055360377817054e+00	+1.9055360377817054e+00	+0.0000000000000000e+00
0	-2.6320940568388078e+00	-2.6320940568388078e+00	+0.0000000000000000e+00
0	-3.7626752388636602e+00	-3.7626752388636602e+00	+0.0000000000000000e+00
1	-2.0555359797276456e+00	-1.8563611669446156e+00	+3.9834962556605991e-01
1	-2.1307786991763287e+00	-1.9301334779246146e+00	+4.0129044250342805e-01
0	+2.9752385970628832e+00	+2.9752385970628832e+00	+0.0000000000000000e+00
0	+2.2043036274456105e+00	+2.2043036274456105e+00	+0.0000000000000000e+00
0	+1.9013012155940436e+00	+1.9013012155940436e+00	+0.0000000000000000e+00
1	+2.4065004138508006e+00	+2.4275075118579243e+00	+4.2014196014247496e-02
0	-1.2192009956868262e+00	-1.2192009956868262e+00	+0.0000000000000000e+00
1	+2.3129357050937669e+00	+2.3982396573541824e+00	+1.7060790452083108e-01
1	+2.2923730817498229e+00	+2.3846061207713638e+00	+1.8446607804308179e-01
0	+2.6050024622524952e+00	+2.6050024622524952e+00	+0.0000000000000000e+00
0	-5.6450293553952591e+00	-5.6450293553952591e+00	+0.0000000000000000e+00
0	+2.7309690519443786e+00	+2.7309690519443786e+00	+0.0000000000000000e+00
1	-4.9168820330084735e+00	-4.5875452956632703e+00	+6.5867347469040638e-01
2	-5.1285742633277547e+00	-4.7091667213444683e+00	+8.3881508396657267e-01
0	-3.3265132437906626e+00	-3.3265132437906626e+00	+0.0000000000000000e+00
0	-3.2961171377813141e+00	-3.2961171377813141e+00	+0.0000000000000000e+00
0	-6.6215154433160350e-01	-6.6215154433160350e-01	+0.0000000000000000e+00
0	-7.4214426309197847e+00	-7.4214426309197847e+00	+0.0000000000000000e+00
1	-7.0216621887211392e+00	-6.3272499765019976e+00	+1.3888244244382832e+00
0	-5.5101213573619265e+00	-5.5101213573619265e+00	+0.0000000000000000e+00
1	+1.2606249876905395e+00	+1.3069861622752934e+00	+9.2722349169507723e-02
0	+1.9943833747701820e+00	+1.9943833747701820e+00	+0.0000000000000000e+00
0	+1.9456371626951499e+00	+1.9456371626951499e+00	+0.0000000000000000e+00
1	-1.2354974741197493e+00	-5.5486256252838428e-01	+1.3612698231827300e+00
4	-9.3555140543500315e+00	-5.3634789495907587e+00	+7.9840702095185456e+00
3	-7.8400738087735355e+00	-6.2078454208907514e+00	+3.2644567757655683e+00
1	+2.3894022851911112e+00	+2.4503021310756203e+00	+1.2179969176901828e-01
0	+3.4201567896288503e+00	+3.4201567896288503e+00	+0.0000000000000000e+00
0	+3.0493571905859129e+00	+3.0493571905859129e+00	+0.0000000000000000e+00
2	+4.9847943859008259e-01	+1.3518015842197193e+00	+1.7066442912592734e+00
0	-4.0884915210231334e+00	-4.0884915210231334e+00	+0.0000000000000000e+00
0	+3.2285236310202663e+00	+3.2285236310202663e+00	+0.0000000000000000e+00
0	-2.4731426493290591e+00	-2.4731426493290591e+00	+0.0000000000000000e+00
0	+2.4364535747488985e+00	+2.4364535747488985e+00	+0.0000000000000000e+00
0	+2.5815287335979802e+00	+2.5815287335979802e+00	+0.0000000000000000e+00
0	+1.9101282409390299e+00	+1.9101282409390299e+00	+0.0000000000000000e+00
0	+2.5552236567885860e+00	+2.5552236567885860e+00	+0.0000000000000000e+00
1	+1.8240722020823821e+00	+1.8424961029059705e+00	+3.6847801647176937e-02
1	+1.0381288293678970e+00	+1.7219121945676501e+00	+1.3675667303995063e+00
0	+2.6309399128382727e+00	+2.6309399128382727e+00	+0.0000000000000000e+00
0	+2.7063038956354322e+00	+2.7063038956354322e+00	+0.0000000000000000e+00
0	+2.6572991744711483e+00	+2.6572991744711483e+00	+0.0000000000000000e+00
0	+2.8673343823784894e+00	+2.8673343823784894e+00	+0.0000000000000000e+00
